hour,day,week,consommation
0,0,1,999
0,0,2,1017
0,0,3,1051
0,0,4,1055
0,0,5,1083
0,0,6,1108
0,0,7,1043
0,0,8,1096
0,0,9,1086
0,0,10,1056
0,0,11,1074
0,0,12,1059
0,0,13,1078
0,0,14,1050
0,0,15,1051
0,0,16,1074
0,0,17,1108
0,0,18,1058
0,0,19,1261
0,0,20,1106
0,0,21,1064
0,0,22,1169
0,0,23,1062
0,0,24,1301
0,0,25,1199
0,0,26,1193
0,0,27,1206
0,0,28,1260
0,0,29,1277
0,0,30,1241
0,0,31,1037
0,0,32,1059
0,0,33,1430
0,0,34,1169
0,0,35,1072
0,0,36,1231
0,0,37,1163
0,0,38,1048
0,0,39,1090
0,0,40,1022
0,0,41,1040
0,0,42,1028
0,0,43,1037
0,0,44,1127
0,0,45,1041
0,0,46,1059
0,0,47,958
0,0,48,1041
0,0,49,1050
0,0,50,1027
0,0,51,1019
0,0,52,1031
0,1,1,1034
0,1,2,1024
0,1,3,1050
0,1,4,1062
0,1,5,1120
0,1,6,1096
0,1,7,1087
0,1,8,1125
0,1,9,1096
0,1,10,1080
0,1,11,1108
0,1,12,1067
0,1,13,1125
0,1,14,1073
0,1,15,1078
0,1,16,1069
0,1,17,1131
0,1,18,1088
0,1,19,1079
0,1,20,1110
0,1,21,1084
0,1,22,1219
0,1,23,1180
0,1,24,1362
0,1,25,1175
0,1,26,1207
0,1,27,1375
0,1,28,1121
0,1,29,1383
0,1,30,1204
0,1,31,1130
0,1,32,1132
0,1,33,1170
0,1,34,1119
0,1,35,1139
0,1,36,1308
0,1,37,1316
0,1,38,1115
0,1,39,1124
0,1,40,1052
0,1,41,1070
0,1,42,1059
0,1,43,1059
0,1,44,1087
0,1,45,1093
0,1,46,1095
0,1,47,1019
0,1,48,1077
0,1,49,1050
0,1,50,1078
0,1,51,1046
0,1,52,1063
0,2,1,1033
0,2,2,1078
0,2,3,1073
0,2,4,1020
0,2,5,1084
0,2,6,1114
0,2,7,1097
0,2,8,1122
0,2,9,1073
0,2,10,1087
0,2,11,1081
0,2,12,1071
0,2,13,1133
0,2,14,1101
0,2,15,1087
0,2,16,1010
0,2,17,1147
0,2,18,1143
0,2,19,1143
0,2,20,1082
0,2,21,1110
0,2,22,1212
0,2,23,1269
0,2,24,1382
0,2,25,1199
0,2,26,1099
0,2,27,1151
0,2,28,1097
0,2,29,1346
0,2,30,1235
0,2,31,1117
0,2,32,1247
0,2,33,1091
0,2,34,1198
0,2,35,1129
0,2,36,1312
0,2,37,1336
0,2,38,1139
0,2,39,1058
0,2,40,1048
0,2,41,1089
0,2,42,1119
0,2,43,1063
0,2,44,1097
0,2,45,1078
0,2,46,1080
0,2,47,998
0,2,48,1071
0,2,49,1080
0,2,50,1050
0,2,51,1062
0,2,52,1051
0,3,1,1026
0,3,2,1055
0,3,3,1065
0,3,4,1081
0,3,5,1088
0,3,6,1092
0,3,7,1068
0,3,8,1097
0,3,9,1098
0,3,10,1101
0,3,11,1098
0,3,12,1047
0,3,13,1186
0,3,14,1088
0,3,15,1096
